,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
245,b'no checking',12.0,b'all paid',b'retraining',3447.0,b'500<=X<1000',b'1<=X<4',4.0,b'female div/dep/mar',b'none',3.0,b'real estate',35.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
246,b'no checking',24.0,b'existing paid',b'business',1258.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',1.0,b'real estate',25.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
247,b'no checking',12.0,b'critical/other existing credit',b'radio/tv',717.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',52.0,b'none',b'own',3.0,b'skilled',1.0,b'none',b'yes',b'good'
248,b'no checking',6.0,b'no credits/all paid',b'new car',1204.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'none',1.0,b'no known property',35.0,b'bank',b'rent',1.0,b'skilled',1.0,b'none',b'no',b'good'
249,b'>=200',24.0,b'existing paid',b'furniture/equipment',1925.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'real estate',26.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
250,b'no checking',18.0,b'existing paid',b'radio/tv',433.0,b'<100',b'unemployed',3.0,b'female div/dep/mar',b'co applicant',4.0,b'real estate',22.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
251,b'<0',6.0,b'critical/other existing credit',b'new car',666.0,b'>=1000',b'4<=X<7',3.0,b'female div/dep/mar',b'none',4.0,b'real estate',39.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
252,b'>=200',12.0,b'existing paid',b'furniture/equipment',2251.0,b'<100',b'1<=X<4',1.0,b'female div/dep/mar',b'none',2.0,b'car',46.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
253,b'0<=X<200',30.0,b'existing paid',b'new car',2150.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'guarantor',2.0,b'no known property',24.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
254,b'no checking',24.0,b'delayed previously',b'furniture/equipment',4151.0,b'100<=X<500',b'1<=X<4',2.0,b'male single',b'none',3.0,b'life insurance',35.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
255,b'0<=X<200',9.0,b'existing paid',b'furniture/equipment',2030.0,b'no known savings',b'4<=X<7',2.0,b'male single',b'none',1.0,b'car',24.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
256,b'0<=X<200',60.0,b'delayed previously',b'radio/tv',7418.0,b'no known savings',b'1<=X<4',1.0,b'male single',b'none',1.0,b'real estate',27.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
257,b'no checking',24.0,b'critical/other existing credit',b'radio/tv',2684.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'real estate',35.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
258,b'<0',12.0,b'all paid',b'radio/tv',2149.0,b'<100',b'1<=X<4',4.0,b'male div/sep',b'none',1.0,b'no known property',29.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
259,b'no checking',15.0,b'existing paid',b'used car',3812.0,b'100<=X<500',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'car',23.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
260,b'no checking',11.0,b'critical/other existing credit',b'radio/tv',1154.0,b'100<=X<500',b'unemployed',4.0,b'female div/dep/mar',b'none',4.0,b'real estate',57.0,b'none',b'own',3.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
261,b'<0',12.0,b'existing paid',b'furniture/equipment',1657.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'real estate',27.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
262,b'<0',24.0,b'existing paid',b'radio/tv',1603.0,b'<100',b'>=7',4.0,b'female div/dep/mar',b'none',4.0,b'car',55.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
263,b'<0',18.0,b'critical/other existing credit',b'new car',5302.0,b'<100',b'>=7',2.0,b'male single',b'none',4.0,b'no known property',36.0,b'none',b'for free',3.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
264,b'no checking',12.0,b'critical/other existing credit',b'education',2748.0,b'<100',b'>=7',2.0,b'female div/dep/mar',b'none',4.0,b'no known property',57.0,b'bank',b'for free',3.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
265,b'no checking',10.0,b'critical/other existing credit',b'new car',1231.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'real estate',32.0,b'none',b'own',2.0,b'unskilled resident',2.0,b'none',b'no',b'good'
266,b'0<=X<200',15.0,b'existing paid',b'radio/tv',802.0,b'<100',b'>=7',4.0,b'male single',b'none',3.0,b'car',37.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'bad'
267,b'no checking',36.0,b'critical/other existing credit',b'business',6304.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'real estate',36.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
268,b'no checking',24.0,b'existing paid',b'radio/tv',1533.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',3.0,b'car',38.0,b'stores',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
269,b'<0',14.0,b'existing paid',b'new car',8978.0,b'<100',b'>=7',1.0,b'male div/sep',b'none',4.0,b'life insurance',45.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'no',b'bad'
270,b'no checking',24.0,b'existing paid',b'radio/tv',999.0,b'no known savings',b'>=7',4.0,b'male single',b'none',2.0,b'car',25.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
271,b'no checking',18.0,b'existing paid',b'new car',2662.0,b'no known savings',b'4<=X<7',4.0,b'male single',b'none',3.0,b'life insurance',32.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'no',b'good'
272,b'no checking',12.0,b'critical/other existing credit',b'furniture/equipment',1402.0,b'500<=X<1000',b'4<=X<7',3.0,b'female div/dep/mar',b'none',4.0,b'car',37.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
273,b'0<=X<200',48.0,b'all paid',b'new car',12169.0,b'no known savings',b'unemployed',4.0,b'male single',b'co applicant',4.0,b'no known property',36.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
274,b'0<=X<200',48.0,b'existing paid',b'radio/tv',3060.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',4.0,b'real estate',28.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
275,b'<0',30.0,b'existing paid',b'repairs',11998.0,b'<100',b'<1',1.0,b'male div/sep',b'none',1.0,b'no known property',34.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'bad'
276,b'no checking',9.0,b'existing paid',b'radio/tv',2697.0,b'<100',b'1<=X<4',1.0,b'male single',b'none',2.0,b'real estate',32.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
277,b'no checking',18.0,b'critical/other existing credit',b'radio/tv',2404.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',2.0,b'car',26.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
278,b'<0',12.0,b'existing paid',b'furniture/equipment',1262.0,b'no known savings',b'>=7',2.0,b'male div/sep',b'none',4.0,b'life insurance',49.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
279,b'no checking',6.0,b'existing paid',b'furniture/equipment',4611.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'life insurance',32.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
280,b'no checking',24.0,b'existing paid',b'radio/tv',1901.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'none',4.0,b'car',29.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
281,b'no checking',15.0,b'critical/other existing credit',b'used car',3368.0,b'>=1000',b'>=7',3.0,b'male single',b'none',4.0,b'no known property',23.0,b'none',b'rent',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
282,b'no checking',12.0,b'existing paid',b'furniture/equipment',1574.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'real estate',50.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
283,b'>=200',18.0,b'all paid',b'radio/tv',1445.0,b'no known savings',b'4<=X<7',4.0,b'male single',b'none',4.0,b'car',49.0,b'bank',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
284,b'no checking',15.0,b'critical/other existing credit',b'furniture/equipment',1520.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'life insurance',63.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
285,b'0<=X<200',24.0,b'critical/other existing credit',b'new car',3878.0,b'100<=X<500',b'<1',4.0,b'male div/sep',b'none',2.0,b'car',37.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
286,b'<0',47.0,b'existing paid',b'new car',10722.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',1.0,b'real estate',35.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
287,b'<0',48.0,b'existing paid',b'used car',4788.0,b'<100',b'4<=X<7',4.0,b'male single',b'none',3.0,b'life insurance',26.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
288,b'0<=X<200',48.0,b'delayed previously',b'other',7582.0,b'100<=X<500',b'unemployed',2.0,b'male single',b'none',4.0,b'no known property',31.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
289,b'0<=X<200',12.0,b'existing paid',b'radio/tv',1092.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'guarantor',4.0,b'real estate',49.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
290,b'<0',24.0,b'delayed previously',b'radio/tv',1024.0,b'<100',b'<1',4.0,b'male mar/wid',b'none',4.0,b'real estate',48.0,b'stores',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
291,b'no checking',12.0,b'existing paid',b'business',1076.0,b'<100',b'1<=X<4',2.0,b'male mar/wid',b'none',2.0,b'real estate',26.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'no',b'good'
292,b'0<=X<200',36.0,b'existing paid',b'used car',9398.0,b'<100',b'<1',1.0,b'male mar/wid',b'none',4.0,b'car',28.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
293,b'<0',24.0,b'critical/other existing credit',b'used car',6419.0,b'<100',b'>=7',2.0,b'female div/dep/mar',b'none',4.0,b'no known property',44.0,b'none',b'for free',2.0,b'high qualif/self emp/mgmt',2.0,b'yes',b'yes',b'good'
294,b'>=200',42.0,b'critical/other existing credit',b'used car',4796.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',56.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'good'
295,b'no checking',48.0,b'critical/other existing credit',b'business',7629.0,b'no known savings',b'>=7',4.0,b'male div/sep',b'none',2.0,b'car',46.0,b'bank',b'own',2.0,b'high qualif/self emp/mgmt',2.0,b'none',b'yes',b'good'
296,b'0<=X<200',48.0,b'existing paid',b'furniture/equipment',9960.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',2.0,b'car',26.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
297,b'no checking',12.0,b'existing paid',b'used car',4675.0,b'no known savings',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'car',20.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
298,b'no checking',10.0,b'existing paid',b'new car',1287.0,b'no known savings',b'>=7',4.0,b'male single',b'co applicant',2.0,b'life insurance',45.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'no',b'good'
299,b'no checking',18.0,b'existing paid',b'furniture/equipment',2515.0,b'<100',b'1<=X<4',3.0,b'male single',b'none',4.0,b'real estate',43.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
300,b'0<=X<200',21.0,b'critical/other existing credit',b'furniture/equipment',2745.0,b'>=1000',b'4<=X<7',3.0,b'male single',b'none',2.0,b'car',32.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
301,b'no checking',6.0,b'existing paid',b'new car',672.0,b'<100',b'unemployed',1.0,b'female div/dep/mar',b'none',4.0,b'real estate',54.0,b'none',b'own',1.0,b'unemp/unskilled non res',1.0,b'yes',b'yes',b'good'
302,b'0<=X<200',36.0,b'no credits/all paid',b'radio/tv',3804.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',1.0,b'car',42.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'bad'
303,b'>=200',24.0,b'critical/other existing credit',b'new car',1344.0,b'no known savings',b'4<=X<7',4.0,b'male single',b'none',2.0,b'real estate',37.0,b'bank',b'own',2.0,b'unskilled resident',2.0,b'none',b'yes',b'bad'
304,b'<0',10.0,b'critical/other existing credit',b'new car',1038.0,b'<100',b'4<=X<7',4.0,b'male single',b'co applicant',3.0,b'life insurance',49.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
305,b'no checking',48.0,b'critical/other existing credit',b'new car',10127.0,b'500<=X<1000',b'1<=X<4',2.0,b'male single',b'none',2.0,b'no known property',44.0,b'bank',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
306,b'no checking',6.0,b'existing paid',b'furniture/equipment',1543.0,b'>=1000',b'1<=X<4',4.0,b'male div/sep',b'none',2.0,b'real estate',33.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
307,b'no checking',30.0,b'existing paid',b'used car',4811.0,b'no known savings',b'4<=X<7',2.0,b'female div/dep/mar',b'none',4.0,b'life insurance',24.0,b'stores',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
308,b'<0',12.0,b'existing paid',b'radio/tv',727.0,b'100<=X<500',b'<1',4.0,b'male mar/wid',b'none',3.0,b'no known property',33.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'bad'
309,b'0<=X<200',8.0,b'existing paid',b'furniture/equipment',1237.0,b'<100',b'1<=X<4',3.0,b'female div/dep/mar',b'none',4.0,b'real estate',24.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
310,b'0<=X<200',9.0,b'existing paid',b'new car',276.0,b'<100',b'1<=X<4',4.0,b'male mar/wid',b'none',4.0,b'real estate',22.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
311,b'0<=X<200',48.0,b'existing paid',b'other',5381.0,b'no known savings',b'unemployed',3.0,b'male single',b'none',4.0,b'no known property',40.0,b'bank',b'for free',1.0,b'unemp/unskilled non res',1.0,b'yes',b'yes',b'good'
312,b'no checking',24.0,b'existing paid',b'furniture/equipment',5511.0,b'100<=X<500',b'1<=X<4',4.0,b'male single',b'none',1.0,b'car',25.0,b'stores',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
313,b'>=200',24.0,b'existing paid',b'furniture/equipment',3749.0,b'<100',b'<1',2.0,b'female div/dep/mar',b'none',4.0,b'car',26.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
314,b'0<=X<200',12.0,b'existing paid',b'new car',685.0,b'<100',b'4<=X<7',2.0,b'male mar/wid',b'none',3.0,b'car',25.0,b'bank',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
315,b'>=200',4.0,b'existing paid',b'new car',1494.0,b'no known savings',b'<1',1.0,b'male single',b'none',2.0,b'real estate',29.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'no',b'good'
316,b'<0',36.0,b'all paid',b'furniture/equipment',2746.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'car',31.0,b'bank',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
317,b'<0',12.0,b'existing paid',b'furniture/equipment',708.0,b'<100',b'1<=X<4',2.0,b'male single',b'guarantor',3.0,b'life insurance',38.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
318,b'0<=X<200',24.0,b'existing paid',b'furniture/equipment',4351.0,b'no known savings',b'1<=X<4',1.0,b'female div/dep/mar',b'none',4.0,b'life insurance',48.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'yes',b'yes',b'good'
319,b'no checking',12.0,b'critical/other existing credit',b'education',701.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',32.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
320,b'<0',15.0,b'delayed previously',b'furniture/equipment',3643.0,b'<100',b'>=7',1.0,b'female div/dep/mar',b'none',4.0,b'life insurance',27.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
321,b'0<=X<200',30.0,b'critical/other existing credit',b'new car',4249.0,b'<100',b'unemployed',4.0,b'male mar/wid',b'none',2.0,b'car',28.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'bad'
322,b'<0',24.0,b'existing paid',b'radio/tv',1938.0,b'<100',b'<1',4.0,b'male div/sep',b'none',3.0,b'life insurance',32.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
323,b'<0',24.0,b'existing paid',b'used car',2910.0,b'<100',b'4<=X<7',2.0,b'male single',b'none',1.0,b'no known property',34.0,b'none',b'for free',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
324,b'<0',18.0,b'existing paid',b'furniture/equipment',2659.0,b'>=1000',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
325,b'no checking',18.0,b'critical/other existing credit',b'new car',1028.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',3.0,b'real estate',36.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
326,b'<0',8.0,b'critical/other existing credit',b'new car',3398.0,b'<100',b'4<=X<7',1.0,b'male single',b'none',4.0,b'real estate',39.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'no',b'good'
327,b'no checking',12.0,b'critical/other existing credit',b'furniture/equipment',5801.0,b'no known savings',b'>=7',2.0,b'male single',b'none',4.0,b'life insurance',49.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
328,b'no checking',24.0,b'existing paid',b'new car',1525.0,b'>=1000',b'4<=X<7',4.0,b'female div/dep/mar',b'none',3.0,b'car',34.0,b'none',b'own',1.0,b'skilled',2.0,b'yes',b'yes',b'good'
329,b'>=200',36.0,b'existing paid',b'radio/tv',4473.0,b'<100',b'>=7',4.0,b'male single',b'none',2.0,b'car',31.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
330,b'0<=X<200',6.0,b'existing paid',b'radio/tv',1068.0,b'<100',b'>=7',4.0,b'male single',b'none',4.0,b'car',28.0,b'none',b'own',1.0,b'skilled',2.0,b'none',b'yes',b'good'
331,b'<0',24.0,b'critical/other existing credit',b'used car',6615.0,b'<100',b'unemployed',2.0,b'male single',b'none',4.0,b'no known property',75.0,b'none',b'for free',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
332,b'no checking',18.0,b'critical/other existing credit',b'education',1864.0,b'100<=X<500',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'real estate',30.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
333,b'0<=X<200',60.0,b'existing paid',b'new car',7408.0,b'100<=X<500',b'<1',4.0,b'female div/dep/mar',b'none',2.0,b'life insurance',24.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'bad'
334,b'no checking',48.0,b'critical/other existing credit',b'used car',11590.0,b'100<=X<500',b'1<=X<4',2.0,b'female div/dep/mar',b'none',4.0,b'car',24.0,b'bank',b'rent',2.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
335,b'<0',24.0,b'no credits/all paid',b'furniture/equipment',4110.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'no known property',23.0,b'bank',b'rent',2.0,b'skilled',2.0,b'none',b'yes',b'bad'
336,b'<0',6.0,b'critical/other existing credit',b'furniture/equipment',3384.0,b'<100',b'1<=X<4',1.0,b'male div/sep',b'none',4.0,b'real estate',44.0,b'none',b'rent',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
337,b'0<=X<200',13.0,b'existing paid',b'radio/tv',2101.0,b'<100',b'<1',2.0,b'female div/dep/mar',b'guarantor',4.0,b'life insurance',23.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
338,b'<0',15.0,b'existing paid',b'domestic appliance',1275.0,b'no known savings',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'car',24.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
339,b'<0',24.0,b'existing paid',b'furniture/equipment',4169.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',4.0,b'life insurance',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
340,b'0<=X<200',10.0,b'existing paid',b'furniture/equipment',1521.0,b'<100',b'1<=X<4',4.0,b'male div/sep',b'none',2.0,b'car',31.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
341,b'0<=X<200',24.0,b'critical/other existing credit',b'education',5743.0,b'<100',b'<1',2.0,b'female div/dep/mar',b'none',4.0,b'no known property',24.0,b'none',b'for free',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
342,b'<0',21.0,b'existing paid',b'furniture/equipment',3599.0,b'<100',b'4<=X<7',1.0,b'female div/dep/mar',b'none',4.0,b'car',26.0,b'none',b'rent',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
343,b'0<=X<200',18.0,b'existing paid',b'radio/tv',3213.0,b'500<=X<1000',b'<1',1.0,b'male mar/wid',b'none',3.0,b'real estate',25.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
344,b'0<=X<200',18.0,b'existing paid',b'business',4439.0,b'<100',b'>=7',1.0,b'male single',b'co applicant',1.0,b'real estate',33.0,b'bank',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
345,b'>=200',10.0,b'existing paid',b'new car',3949.0,b'<100',b'<1',1.0,b'male single',b'guarantor',1.0,b'life insurance',37.0,b'none',b'own',1.0,b'unskilled resident',2.0,b'none',b'yes',b'good'
346,b'no checking',15.0,b'critical/other existing credit',b'radio/tv',1459.0,b'<100',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'car',43.0,b'none',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
347,b'0<=X<200',13.0,b'critical/other existing credit',b'radio/tv',882.0,b'<100',b'<1',4.0,b'male single',b'guarantor',4.0,b'real estate',23.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'good'
348,b'0<=X<200',24.0,b'existing paid',b'radio/tv',3758.0,b'500<=X<1000',b'unemployed',1.0,b'female div/dep/mar',b'none',4.0,b'no known property',23.0,b'none',b'rent',1.0,b'unemp/unskilled non res',1.0,b'none',b'yes',b'good'
349,b'no checking',6.0,b'delayed previously',b'business',1743.0,b'100<=X<500',b'1<=X<4',1.0,b'male single',b'none',2.0,b'real estate',34.0,b'none',b'own',2.0,b'unskilled resident',1.0,b'none',b'yes',b'good'
350,b'0<=X<200',9.0,b'critical/other existing credit',b'education',1136.0,b'>=1000',b'>=7',4.0,b'male single',b'none',3.0,b'no known property',32.0,b'none',b'for free',2.0,b'skilled',2.0,b'none',b'yes',b'bad'
351,b'no checking',9.0,b'existing paid',b'domestic appliance',1236.0,b'<100',b'<1',1.0,b'female div/dep/mar',b'none',4.0,b'real estate',23.0,b'none',b'rent',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
352,b'0<=X<200',9.0,b'existing paid',b'furniture/equipment',959.0,b'<100',b'1<=X<4',1.0,b'female div/dep/mar',b'none',2.0,b'car',29.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'no',b'bad'
353,b'no checking',18.0,b'critical/other existing credit',b'used car',3229.0,b'no known savings',b'unemployed',2.0,b'male single',b'none',4.0,b'no known property',38.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
354,b'<0',12.0,b'no credits/all paid',b'radio/tv',6199.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'life insurance',28.0,b'none',b'rent',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
355,b'no checking',10.0,b'existing paid',b'education',727.0,b'500<=X<1000',b'>=7',4.0,b'male single',b'none',4.0,b'no known property',46.0,b'none',b'for free',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
356,b'0<=X<200',24.0,b'existing paid',b'new car',1246.0,b'<100',b'<1',4.0,b'male single',b'none',2.0,b'real estate',23.0,b'stores',b'own',1.0,b'unskilled resident',1.0,b'none',b'yes',b'bad'
357,b'no checking',12.0,b'critical/other existing credit',b'radio/tv',2331.0,b'no known savings',b'>=7',1.0,b'male single',b'co applicant',4.0,b'real estate',49.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
358,b'no checking',36.0,b'delayed previously',b'radio/tv',4463.0,b'<100',b'1<=X<4',4.0,b'male single',b'none',2.0,b'car',26.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'bad'
359,b'no checking',12.0,b'existing paid',b'radio/tv',776.0,b'<100',b'1<=X<4',4.0,b'male mar/wid',b'none',2.0,b'real estate',28.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
360,b'<0',30.0,b'existing paid',b'furniture/equipment',2406.0,b'<100',b'4<=X<7',4.0,b'female div/dep/mar',b'none',4.0,b'real estate',23.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
361,b'0<=X<200',18.0,b'existing paid',b'education',1239.0,b'no known savings',b'1<=X<4',4.0,b'male single',b'none',4.0,b'no known property',61.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'good'
362,b'>=200',12.0,b'existing paid',b'radio/tv',3399.0,b'no known savings',b'>=7',2.0,b'male single',b'none',3.0,b'car',37.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'none',b'yes',b'good'
363,b'>=200',12.0,b'delayed previously',b'new car',2247.0,b'<100',b'1<=X<4',2.0,b'female div/dep/mar',b'none',2.0,b'car',36.0,b'stores',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'good'
364,b'no checking',6.0,b'existing paid',b'furniture/equipment',1766.0,b'<100',b'1<=X<4',1.0,b'male mar/wid',b'none',2.0,b'life insurance',21.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
