status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
0 <= x < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,x <  100 DM,unemployed,2,male:single,none,3,car or other,68,none,for free,3,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,existing credits paid back duly till now,radio/television,674,100 <= x <  500 DM,4  <= x < 7 years,4,male:married/widowed,none,1,if not A121:building society savings agreement/life insurance,20,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,business,4591,x >= 1000 DM,1  <= x < 4 years,2,male:single,none,3,if not A121:building society savings agreement/life insurance,54,none,own,3,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= x <  500 DM,4  <= x < 7 years,4,male:single,none,4,unknown/no property,34,none,for free,1,unskilled-resident,2,none,yes,2
0 <= x < 200 DM,27,existing credits paid back duly till now,business,3915,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,36,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,2
no checking account,6,existing credits paid back duly till now,radio/television,2108,x <  100 DM,4  <= x < 7 years,2,male:married/widowed,none,2,real estate,29,none,rent,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= x <  500 DM,1  <= x < 4 years,4,male:single,guarantor,4,if not A121:building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,x <  100 DM,x >= 7 years,2,female:divorced/separated/married,none,3,car or other,34,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= x <  500 DM, x < 1 year,4,female:divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,x >= 7 years,4,male:single,none,4,unknown/no property,36,bank,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,x <  100 DM,x >= 7 years,4,male:divorced/separated,none,3,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,2,car or other,52,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,existing credits paid back duly till now,car (new),1168,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,3,real estate,27,none,own,1,unskilled-resident,1,none,yes,1
no checking account,27,delay in paying off in the past,business,5117,x <  100 DM,4  <= x < 7 years,3,male:single,none,4,car or other,26,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,retraining,902,x <  100 DM,4  <= x < 7 years,4,male:married/widowed,none,4,if not A121:building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,x <  100 DM,x >= 7 years,4,male:single,none,1,real estate,38,none,own,2,unskilled-resident,2,none,yes,1
x < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,x <  100 DM,x >= 7 years,3,male:single,none,4,unknown/no property,38,none,for free,3,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,43,none,own,3,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,x <  100 DM,4  <= x < 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,business,6568,x <  100 DM,1  <= x < 4 years,2,male:married/widowed,none,2,car or other,21,stores,own,1,unskilled-resident,1,none,yes,1
no checking account,12,existing credits paid back duly till now,car (used),1413,x >= 1000 DM,4  <= x < 7 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,55,none,own,1,skilled employee/official,1,none,no,1
no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1  <= x < 4 years,1,male:single,none,2,real estate,33,none,own,2,skilled employee/official,2,none,yes,1
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,x >= 7 years,2,female:divorced/separated/married,none,4,real estate,45,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,27,no credits taken/ all credits paid back duly,business,5293,x <  100 DM,unemployed,2,male:single,none,4,if not A121:building society savings agreement/life insurance,50,stores,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x >= 200 DM_salary assignments for at least 1 year,30,delay in paying off in the past,business,1908,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,66,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,x >= 7 years,4,male:single,none,2,car or other,51,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4  <= x < 7 years,1,female:divorced/separated/married,none,3,if not A121:building society savings agreement/life insurance,39,none,own,2,unskilled-resident,1,none,yes,1
x < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,x <  100 DM,4  <= x < 7 years,3,male:single,none,1,if not A121:building society savings agreement/life insurance,31,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,3913,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,x <  100 DM,1  <= x < 4 years,2,male:divorced/separated,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes,1
no checking account,10,existing credits paid back duly till now,car (new),1364,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,625,x <  100 DM, x < 1 year,4,male:married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled-resident,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1  <= x < 4 years,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,23,bank,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,radio/television,707,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,real estate,30,bank,own,2,skilled employee/official,1,none,yes,1
no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,4,real estate,32,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,15,existing credits paid back duly till now,car (used),4657,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,27,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,radio/television,10961,x >= 1000 DM,4  <= x < 7 years,1,male:single,co-applicant,2,unknown/no property,27,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,53,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,9,existing credits paid back duly till now,radio/television,1478,x <  100 DM,4  <= x < 7 years,4,male:single,none,2,car or other,22,none,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,x <  100 DM, x < 1 year,4,male:single,none,1,unknown/no property,22,bank,for free,1,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4210,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,26,none,own,1,skilled employee/official,1,none,yes,2
no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= x < 1000 DM,x >= 7 years,2,male:single,none,4,unknown/no property,51,none,for free,1,unskilled-resident,1,none,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,2141,100 <= x <  500 DM,4  <= x < 7 years,3,male:single,none,1,unknown/no property,35,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,18,existing credits paid back duly till now,radio/television,866,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,guarantor,2,real estate,25,none,own,1,unskilled-resident,1,none,yes,1
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,x <  100 DM,4  <= x < 7 years,2,male:single,none,1,real estate,42,none,own,3,unskilled-resident,2,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,radio/television,1823,x <  100 DM,unemployed,4,male:single,none,2,car or other,30,stores,own,1,management/self-employed/highly qualified employee/ officer,2,none,yes,2
0 <= x < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,male:single,none,2,if not A121:building society savings agreement/life insurance,23,none,own,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= x <  500 DM,x >= 7 years,4,male:divorced/separated,none,2,car or other,61,bank,rent,2,unskilled-resident,1,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,30,existing credits paid back duly till now,radio/television,2522,x <  100 DM,x >= 7 years,1,male:single,guarantor,3,if not A121:building society savings agreement/life insurance,39,none,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,x >= 7 years,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,none,yes,2
no checking account,6,existing credits paid back duly till now,radio/television,1595,x <  100 DM,4  <= x < 7 years,3,male:single,none,2,if not A121:building society savings agreement/life insurance,51,none,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,x <  100 DM,x >= 7 years,3,male:single,none,4,unknown/no property,24,none,for free,2,skilled employee/official,2,none,yes,2
no checking account,12,critical account/ other credits existing (not at this bank),business,1185,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes,1
no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= x < 1000 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,3,real estate,35,none,own,1,unskilled-resident,2,none,yes,1
no checking account,24,existing credits paid back duly till now,business,1258,x <  100 DM,4  <= x < 7 years,4,male:single,none,1,real estate,25,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,717,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,52,none,own,3,skilled employee/official,1,none,yes,1
no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= x <  500 DM,1  <= x < 4 years,4,male:single,none,1,unknown/no property,35,bank,rent,1,skilled employee/official,1,none,no,1
x >= 200 DM_salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,1925,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes,1
no checking account,18,existing credits paid back duly till now,radio/television,433,x <  100 DM,unemployed,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,x >= 1000 DM,4  <= x < 7 years,3,female:divorced/separated/married,none,4,real estate,39,none,own,2,unskilled-resident,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,2,car or other,46,none,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,30,existing credits paid back duly till now,car (new),2150,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee/official,1,none,yes,2
no checking account,24,delay in paying off in the past,furniture/equipment,4151,100 <= x <  500 DM,1  <= x < 4 years,2,male:single,none,3,if not A121:building society savings agreement/life insurance,35,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4  <= x < 7 years,2,male:single,none,1,car or other,24,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1  <= x < 4 years,1,male:single,none,1,real estate,27,none,own,1,unskilled-resident,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,real estate,35,none,own,2,unskilled-resident,1,none,yes,1
x < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,x <  100 DM,1  <= x < 4 years,4,male:divorced/separated,none,1,unknown/no property,29,none,for free,1,skilled employee/official,1,none,yes,2
no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= x <  500 DM, x < 1 year,1,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1154,100 <= x <  500 DM,unemployed,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,unskilled-resident,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1657,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,27,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,24,existing credits paid back duly till now,radio/television,1603,x <  100 DM,x >= 7 years,4,female:divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,x <  100 DM,x >= 7 years,2,male:single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,x <  100 DM,x >= 7 years,2,female:divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled-resident,1,none,yes,1
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,x <  100 DM,x >= 7 years,3,male:single,none,4,real estate,32,none,own,2,unskilled-resident,2,none,no,1
0 <= x < 200 DM,15,existing credits paid back duly till now,radio/television,802,x <  100 DM,x >= 7 years,4,male:single,none,3,car or other,37,none,own,1,skilled employee/official,2,none,yes,2
no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,x >= 7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1533,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,14,existing credits paid back duly till now,car (new),8978,x <  100 DM,x >= 7 years,1,male:divorced/separated,none,4,if not A121:building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",no,2
no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,x >= 7 years,4,male:single,none,2,car or other,25,none,own,2,skilled employee/official,1,none,yes,1
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,no,1
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= x < 1000 DM,4  <= x < 7 years,3,female:divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male:single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,radio/television,3060,x <  100 DM,4  <= x < 7 years,4,male:single,none,4,real estate,28,none,own,2,skilled employee/official,1,none,yes,2
x < 0 DM,30,existing credits paid back duly till now,repairs,11998,x <  100 DM, x < 1 year,1,male:divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,2
no checking account,9,existing credits paid back duly till now,radio/television,2697,x <  100 DM,1  <= x < 4 years,1,male:single,none,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2404,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1262,unknown/ no savings account,x >= 7 years,2,male:divorced/separated,none,4,if not A121:building society savings agreement/life insurance,49,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,yes,2
no checking account,24,existing credits paid back duly till now,radio/television,1901,100 <= x <  500 DM,1  <= x < 4 years,4,male:single,none,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,15,critical account/ other credits existing (not at this bank),car (used),3368,x >= 1000 DM,x >= 7 years,3,male:single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,real estate,50,none,own,1,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,4,car or other,49,bank,own,1,unskilled-resident,1,none,yes,1
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,1520,unknown/ no savings account,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3878,100 <= x <  500 DM, x < 1 year,4,male:divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,47,existing credits paid back duly till now,car (new),10722,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
x < 0 DM,48,existing credits paid back duly till now,car (used),4788,x <  100 DM,4  <= x < 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,none,yes,1
0 <= x < 200 DM,48,delay in paying off in the past,others,7582,100 <= x <  500 DM,unemployed,2,male:single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,1092,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,24,delay in paying off in the past,radio/television,1024,x <  100 DM, x < 1 year,4,male:married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,none,yes,2
no checking account,12,existing credits paid back duly till now,business,1076,x <  100 DM,1  <= x < 4 years,2,male:married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",no,1
0 <= x < 200 DM,36,existing credits paid back duly till now,car (used),9398,x <  100 DM, x < 1 year,1,male:married/widowed,none,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
x < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),6419,x <  100 DM,x >= 7 years,2,female:divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,x <  100 DM,x >= 7 years,4,male:single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,none,yes,1
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,x >= 7 years,4,male:divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/ officer,2,none,yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account, x < 1 year,1,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,none,yes,1
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,x >= 7 years,4,male:single,co-applicant,2,if not A121:building society savings agreement/life insurance,45,none,own,1,unskilled-resident,1,none,no,1
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,x <  100 DM,1  <= x < 4 years,3,male:single,none,4,real estate,43,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,x >= 1000 DM,4  <= x < 7 years,3,male:single,none,2,car or other,32,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,6,existing credits paid back duly till now,car (new),672,x <  100 DM,unemployed,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
x >= 200 DM_salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,2,real estate,37,bank,own,2,unskilled-resident,2,none,yes,2
x < 0 DM,10,critical account/ other credits existing (not at this bank),car (new),1038,x <  100 DM,4  <= x < 7 years,4,male:single,co-applicant,3,if not A121:building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= x < 1000 DM,1  <= x < 4 years,2,male:single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,none,yes,2
no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,x >= 1000 DM,1  <= x < 4 years,4,male:divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,none,yes,1
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4  <= x < 7 years,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,24,stores,rent,1,unskilled-resident,1,none,yes,1
x < 0 DM,12,existing credits paid back duly till now,radio/television,727,100 <= x <  500 DM, x < 1 year,4,male:married/widowed,none,3,unknown/no property,33,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,8,existing credits paid back duly till now,furniture/equipment,1237,x <  100 DM,1  <= x < 4 years,3,female:divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,9,existing credits paid back duly till now,car (new),276,x <  100 DM,1  <= x < 4 years,4,male:married/widowed,none,4,real estate,22,none,rent,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,others,5381,unknown/ no savings account,unemployed,3,male:single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled-non-resident,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= x <  500 DM,1  <= x < 4 years,4,male:single,none,1,car or other,25,stores,own,1,skilled employee/official,1,none,yes,1
x >= 200 DM_salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),685,x <  100 DM,4  <= x < 7 years,2,male:married/widowed,none,3,car or other,25,bank,own,1,unskilled-resident,1,none,yes,2
x >= 200 DM_salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/ no savings account, x < 1 year,1,male:single,none,2,real estate,29,none,own,1,unskilled-resident,2,none,no,1
x < 0 DM,36,all credits at this bank paid back duly,furniture/equipment,2746,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,31,bank,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,x <  100 DM,1  <= x < 4 years,2,male:single,guarantor,3,if not A121:building society savings agreement/life insurance,38,none,own,1,unskilled-resident,2,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4351,unknown/ no savings account,1  <= x < 4 years,1,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,48,none,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),education,701,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,car or other,32,none,own,2,skilled employee/official,1,none,yes,1
x < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,x <  100 DM,x >= 7 years,1,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,27,none,own,2,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,x <  100 DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/ officer,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,radio/television,1938,x <  100 DM, x < 1 year,4,male:divorced/separated,none,3,if not A121:building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,car (used),2910,x <  100 DM,4  <= x < 7 years,2,male:single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
